"","player_name","pos","fantasypros_id","sportradar_id","gsis_id"
"1","Michael Vick","QB","9465","b797d6fa-1520-4b3d-a212-157afd4a3bd0","00-0020245"
"2","Peyton Manning","QB","9507","aae6d92e-5f28-43ee-b0dc-522e80e99f76","00-0010346"
"3","Jay Cutler","QB","9280","ecd3bc0f-04dd-4945-9454-3fc4722fa5a8","00-0024226"
"4","Josh Freeman","QB","9325","8c7cd76d-74a0-4440-885a-07f92f9a75d7","00-0026993"
"5","Jake Locker","QB","9875","7f6ec436-5fcf-4326-9327-fb2de6687ebd","00-0027946"
"6","Christian Ponder","QB","9890","3467ae3e-4ddf-450d-8f36-b741ea3a2564","00-0027950"
"7","John Skelton","QB","9715","20535436-10a4-46e2-9db1-afd6672dcd51","00-0027754"
"8","Matt Flynn","QB","9436","53e3389f-6db2-41d6-bddf-e1246cb776fb","00-0026349"
"9","Kevin Kolb","QB","9361","c4a16e1e-f0c8-4716-9884-f5a2983616db","00-0025423"
"10","Matt Hasselbeck","QB","9439","7d8eba61-208d-4d91-86cd-704ad05cb7f4","00-0007091"
"11","Kyle Orton","QB","9375","ef068d71-d18f-4b67-a7b4-71c416a14cba","00-0023541"
"12","David Garrard","QB","9163","122d7183-c189-49ac-b8a8-54efd0a7b84d","00-0021231"
"13","Shaun Hill","QB","9563","52b14c80-ffc5-4fd6-9a32-d07b261f0841","00-0020679"
"14","Jason Campbell","QB","9268","8fa562d4-d598-4d3a-bb01-d6cbd06f29de","00-0023460"
"15","Colin Kaepernick","QB","9891","068b70bc-9558-4e99-b729-754fd28937ed","00-0027974"
"16","TJ Yates","QB","9985","20170818-32ab-4892-987e-ea75efcd8c4f","00-0028090"
"17","Tarvaris Jackson","QB","9586","41d6830d-9512-4f40-bd74-2125b2f84416","00-0024279"
"18","Rex Grossman","QB","9528","8b5b9714-9533-4c7d-aa30-3ad3da3452aa","00-0022121"
"19","Vince Young","QB","9623","821ebcca-fdec-4674-951f-60a5c1703790","00-0024218"
"20","Brady Quinn","QB","9055","37554760-5609-4cc2-8de2-379f2ba528b3","00-0025409"
"21","Byron Leftwich","QB","9091","b593ed1e-38d7-487c-b906-7041566da4ec","00-0022177"
"22","Bruce Gradkowski","QB","9088","12815867-476b-4c85-a2eb-6a6a54cf563e","00-0024408"
"23","Matt Leinart","QB","9441","0ae919db-e24b-4828-984a-eec2d6e3b207","00-0024225"
"24","Seneca Wallace","QB","9561","eec73720-d572-44cc-8f60-be5099b6c4b2","00-0022055"
"25","Graham Harrell","QB","9775","b863267a-3900-46d9-a32c-7eafa1ca13a6","00-0027602"
"26","Ryan Mallett","QB","9864","f82d4ebb-cda9-4b79-ade0-9ef468d2c101","00-0028012"
"27","Dan Orlovsky","QB","9732","bbfcacdd-b6ae-48df-8911-764bb7e0fcdb","00-0023578"
"28","Mike Kafka","QB","9764","853c2e4e-7363-4f00-93dd-a9f514407225","00-0027722"
"29","Charlie Batch","QB","9107","a725e7c5-86df-4b5b-abe0-71b809be988d","00-0000865"
"30","David Carr","QB","9161","569edad4-cceb-4b3e-b03c-71cbe27a3693","00-0020608"
"31","Jimmy Clausen","QB","9679","01654256-1c2b-4729-a166-dd54358a71da","00-0027659"
"32","Charlie Whitehurst","QB","9727","34cc7f47-9f14-4661-b9af-c9d3b2fc873a","00-0024296"
"33","Chris Redman","QB","9126","33127677-e54e-47b2-9fe0-e9c7cfe3fd8c","00-0019709"
"34","Kellen Clemens","QB","9347","da2d3510-355a-4a0d-a79d-bd96b4cfcecb","00-0024264"
"35","Caleb Hanie","QB","9093","18a9f322-f99d-4379-9e4e-491d5d282132","00-0025970"
"36","Ryan Lindley","QB","11182","a432666c-9ffd-4094-9071-a9d49d0e20c1","00-0029531"
"37","Ricky Stanzi","QB","9910","1c32d032-ed97-4c70-8655-eecdb0fe9ccf","00-0028073"
"38","Stephen McGee","QB","9758","8a312628-d9dc-4de0-a1ac-1ac8cdf87131","00-0027071"
"39","Jeff Tuel","QB","11671","a2ceffa6-0ff7-4158-858f-8c01fea175f2","00-0030024"
"40","Tyler Wilson","QB","11684","df1be27d-062e-4905-8fb6-58224572a80d","00-0030568"
"41","Johnny Manziel","QB","12089","7ebbfdef-1185-4896-a323-e6d5669a8345","00-0031409"
"42","Zach Mettenberger","QB","12093","7e655b10-5853-479c-a6de-927c4323d186","00-0031266"
"43","Aaron Murray","QB","12096","20729a55-0183-46d8-9cf6-67063f184e36","00-0031287"
"44","Arian Foster","RB","9030","d89d2aef-c383-4ddf-bed8-3761aed35b10","00-0026796"
"45","Ray Rice","RB","9523","712617bb-3379-46e9-86c6-af1c098e0a72","00-0026195"
"46","Maurice Jones-Drew","RB","9452","f20d4a79-b8ca-4922-b276-29f46985bb3b","00-0024275"
"47","Steven Jackson","RB","9582","3d980847-dec6-4fc1-a4bb-63bd0bfcb078","00-0022736"
"48","Trent Richardson","RB","11183","020cf3d6-745a-4418-a3dc-7dda7a86d0bf","00-0029675"
"49","Fred Jackson","RB","9220","db72d154-5534-4160-b293-d0c4b239a677","00-0024204"
"50","Ahmad Bradshaw","RB","9007","8f22eb36-5282-407a-b6f9-f9b62e5f7318","00-0025637"
"51","Michael Turner","RB","9464","aa5dbd51-fb7a-4077-8691-bf90b9eeabfa","00-0022821"
"52","Reggie Bush","RB","9525","0acdcd3b-5442-4311-a139-ae7c506faf88","00-0024217"
"53","Willis McGahee","RB","9631","9d310afd-c478-48d7-a669-4171b055aaac","00-0022178"
"54","Shonn Greene","RB","9568","f3a2dfe6-3a57-45bc-afed-1c1881946ea4","00-0026899"
"55","BenJarvus Green-Ellis","RB","9041","7f73e63f-6875-4883-9113-baee8fb7bd5c","00-0025860"
"56","Donald Brown","RB","9195","1bec10bf-8eae-4018-b2a5-2d623e1bbbc1","00-0027003"
"57","DeAngelo Williams","RB","9170","a9af3f0f-44a9-4f46-b4c7-de5767b7f425","00-0024242"
"58","Chris Beanie Wells","RB","9034",NA,"00-0027007"
"59","Peyton Hillis","RB","9506","a34a5944-33c4-4965-b404-6772f4b7f1ab","00-0026367"
"60","Kevin Smith","RB","9363","0f95943d-95a9-40a9-aa0c-9648bd8f7a62","00-0026204"
"61","Cedric Benson","RB","9100","9a5585b7-e79d-407b-94bc-d836df7e7f6d","00-0023439"
"62","Ben Tate","RB","9692","c8e9990a-9d89-411c-9d99-c0afa7eaef8c","00-0027890"
"63","Isaac Redman","RB","9770","58f0ece9-38e8-49b4-82e2-aec3ff352728","00-0026566"
"64","Ryan Williams","RB","9892","68b5fdb2-e0e1-48aa-96a3-18a85c393a09","00-0027976"
"65","Michael Bush","RB","9458","87935190-fa32-488f-b2a1-daa9b9ce1496","00-0025487"
"66","David Wilson","RB","11184","a230a959-4fba-43cd-92a0-6552766c2bbf","00-0029251"
"67","Roy Helu","RB","9949","455347a8-81f8-477b-908d-4e22a71723ae","00-0028043"
"68","Toby Gerhart","RB","9695","06669e1d-f9f7-4774-abc2-6ed2f7e7647f","00-0027888"
"69","Pierre Thomas","RB","9511","e2782d05-3e61-4c4f-93a6-70eed054e5ba","00-0024813"
"70","Mikel Leshoure","RB","9877","4625f808-72d9-47b7-b645-1df3723ef24b","00-0027995"
"71","Rashad Jennings","RB","9520","8d0e85c6-a77b-4e2c-97da-3ce6dbe34d34","00-0027155"
"72","Daniel Thomas","RB","9893","edbc58f3-86c0-40d9-9e55-25b19df79d4d","00-0028000"
"73","Felix Jones","RB","9217","f0085214-6339-4843-a6c9-8ae118422284","00-0026162"
"74","Evan Royster","RB","10005","f60331a0-29ac-4cde-96c7-270154ff7d48","00-0028115"
"75","Jonathan Dwyer","RB","9684","c291367c-c4e6-4a2a-8ee4-e3e2e4ccbbb6","00-0027786"
"76","Rashard Mendenhall","RB","9521","ba294ab5-616a-4c26-8e9a-bc09d3680610","00-0026163"
"77","Isaiah Pead","RB","11195","37acea2b-df62-4aa6-a064-cf63f20efc12","00-0029626"
"78","Kendall Hunter","RB","9899","7bf077c7-40f9-4015-ac73-93f1b7418a24","00-0028053"
"79","James Starks","RB","9711","de070f62-4494-4a98-8a76-0929c19be685","00-0027791"
"80","Bernard Scott","RB","9043","64c70db3-74ff-4fe5-a136-74c5f394447f","00-0026941"
"81","Ronnie Brown","RB","9541","b2c89b10-76a0-422e-876a-db6b2968fd76","00-0023437"
"82","Montario Hardesty","RB","9693","6d099c7c-4a42-4952-a116-537189834b4d","00-0027666"
"83","Mike Goodson","RB","9470","7e413ee7-e01c-4f5a-8e12-b7587e88e653","00-0027080"
